ID,Description,Source,Category,Priority,Owner,Status,Evidence_Link
REQ-001,Unique user identification for all ePHI access,HIPAA Security Rule §164.312(a)(2)(i),Privacy/Security,High,IT/Security,Not Started,
REQ-002,Multi-factor authentication (MFA) for all ePHI access points,OCR 2025 Rule,Privacy/Security,High,IT/Security,Not Started,
REQ-003,Encryption at rest for all ePHI,HIPAA Security Rule §164.312(a)(2)(iv),Privacy/Security,High,IT/Security,Not Started,
REQ-004,Encryption in transit for all ePHI,HIPAA Security Rule §164.312(e)(1),Privacy/Security,High,IT/Security,Not Started,
REQ-005,Security Risk Analysis (SRA) conducted and documented,OCR Enforcement Initiative 2025,Privacy/Security,High,Compliance Officer,Not Started,
REQ-006,BAA with all vendors that handle PHI,HIPAA Privacy Rule §164.308(b)(1),Privacy/Security,High,Compliance Officer,Not Started,
REQ-007,Audit logging for ePHI access,HIPAA Security Rule §164.312(b),Privacy/Security,High,IT/Security,Not Started,
REQ-008,Third-party tracking tools (pixels, chat) assessed for PHI exposure,OCR 2025 Rule,Privacy/Security,High,IT/Security,Not Started,
REQ-009,Workforce HIPAA training (role-based, documented),HIPAA Privacy Rule §164.530(b),Operations,High,HR/Compliance,Not Started,
REQ-010,Incident response and breach notification plan,HITECH Breach Notification,Privacy/Security,High,Compliance Officer,Not Started,
REQ-011,Minimum necessary standard for PHI disclosures,HIPAA Privacy Rule §164.502(b),Privacy/Security,High,Privacy Officer,Not Started,
REQ-012,Patient rights (access, amendment, accounting of disclosures),HIPAA Privacy Rule §164.524-528,Operations,High,Privacy Officer,Not Started,
REQ-013,Price transparency compliance (if applicable),CMS Hospital Price Transparency,Operations,Medium,Billing/Finance,Not Started,
REQ-014,Medical necessity documentation for billed services,CMS Conditions of Participation,Billing,High,Billing Manager,Not Started,
REQ-015,Accurate coding per CPT/ICD guidelines,CMS Billing Rules,Billing,High,Billing Manager,Not Started,
REQ-016,Contingency plan - critical data restored within 72 hours,HIPAA Security Rule §164.308(a)(7),Privacy/Security,High,IT/Security,Not Started,
REQ-017,Workstation and device security (screen locks, encryption),HIPAA Security Rule §164.310,Privacy/Security,Medium,IT/Security,Not Started,
REQ-018,Physical access controls and visitor logs,HIPAA Security Rule §164.310(a)(1),Privacy/Security,Medium,Facilities,Not Started,
REQ-019,Secure disposal of PHI and devices,HIPAA Security Rule §164.310(d)(2),Privacy/Security,Medium,IT/Security,Not Started,
REQ-020,Compliance Committee with charter and meeting records,OIG 7 Elements,Operations,High,Compliance Officer,Not Started,
